"Relative Time (Process)","experiment-human-data - system/gpu.process.0.memoryAllocated","experiment-human-data - system/gpu.process.0.memoryAllocated__MIN","experiment-human-data - system/gpu.process.0.memoryAllocated__MAX"
"7470.439345","87.41","87.41","87.41"
"7500.439854","87.41","87.41","87.41"
"7530.440361","87.41","87.41","87.41"
"7560.440872","87.41","87.41","87.41"
"7590.441391","87.41","87.41","87.41"
"7620.441919","87.41","87.41","87.41"
"7650.442585","87.41","87.41","87.41"
"7680.443196","87.41","87.41","87.41"
"7710.443985","87.41","87.41","87.41"
"7740.444529","87.41","87.41","87.41"
"7770.445374","87.41","87.41","87.41"
"7800.446177","87.41","87.41","87.41"
"7830.446915","87.41","87.41","87.41"
"7860.447646","87.41","87.41","87.41"
"7890.448461","87.41","87.41","87.41"
"7920.449184","87.41","87.41","87.41"
"7950.449855","87.41","87.41","87.41"
"7980.450754","87.41","87.41","87.41"
"8010.451461","87.41","87.41","87.41"
"8040.452078","87.41","87.41","87.41"
"8070.452799","87.41","87.41","87.41"
"8100.45357","87.41","87.41","87.41"
"8130.454687","87.41","87.41","87.41"
"8160.455393","87.41","87.41","87.41"
"8190.45787","87.41","87.41","87.41"
"8220.458474","87.41","87.41","87.41"
"8250.459084","87.41","87.41","87.41"
"8280.459698","87.41","87.41","87.41"
"8310.460346","87.41","87.41","87.41"
"8340.460978","87.41","87.41","87.41"
"8370.461692","87.41","87.41","87.41"
"8400.462344","87.41","87.41","87.41"
"8430.462807","87.41","87.41","87.41"
"8460.463755","87.41","87.41","87.41"
"8490.46438","87.41","87.41","87.41"
"8520.464917","87.41","87.41","87.41"
"8550.465633","87.41","87.41","87.41"
"8580.46621","87.41","87.41","87.41"
"8610.466726","87.41","87.41","87.41"
"8640.467384","87.41","87.41","87.41"
"8670.467994","87.41","87.41","87.41"
"8700.46868","87.41","87.41","87.41"
"8730.469458","87.41","87.41","87.41"
"8760.470095","87.41","87.41","87.41"
"8790.470929","87.41","87.41","87.41"
"8820.471788","87.41","87.41","87.41"
"8850.472652","87.41","87.41","87.41"
"8880.473467","87.41","87.41","87.41"
"8910.474169","87.41","87.41","87.41"
"8940.474795","87.41","87.41","87.41"
"8970.475568","87.41","87.41","87.41"
"9000.476286","87.41","87.41","87.41"
"9030.476906","87.41","87.41","87.41"
"9060.47746","87.41","87.41","87.41"
"9090.477955","87.41","87.41","87.41"
"9120.478611","87.41","87.41","87.41"
"9150.479249","87.41","87.41","87.41"
"9180.479763","87.41","87.41","87.41"
"9210.480515","87.41","87.41","87.41"
"9240.481174","87.41","87.41","87.41"
"9270.481757","87.41","87.41","87.41"
"9300.482242","87.41","87.41","87.41"
"9330.482959","87.41","87.41","87.41"
"9360.484138","87.41","87.41","87.41"
"9390.485024","87.41","87.41","87.41"
"9420.485704","87.41","87.41","87.41"
"9450.486222","87.41","87.41","87.41"
"9480.486874","87.41","87.41","87.41"
"9510.487624","87.41","87.41","87.41"
"9540.488422","87.41","87.41","87.41"
"9570.489191","87.41","87.41","87.41"
"9600.489883","87.41","87.41","87.41"
"9630.490547","87.41","87.41","87.41"
"9660.491378","87.41","87.41","87.41"
"9690.492141","87.41","87.41","87.41"
"9720.492957","87.41","87.41","87.41"
"9750.49384","87.41","87.41","87.41"
"9780.494504","87.41","87.41","87.41"
"9810.49539","87.41","87.41","87.41"
"9840.496097","87.41","87.41","87.41"
"9870.496849","87.41","87.41","87.41"
"9900.497659","87.41","87.41","87.41"
"9930.498429","87.41","87.41","87.41"
"9960.499223","87.41","87.41","87.41"
"9990.499935","87.41","87.41","87.41"
"10020.500707","87.41","87.41","87.41"
"10050.501314","87.41","87.41","87.41"
"10080.501873","87.41","87.41","87.41"
"10110.502349","87.41","87.41","87.41"
"10140.503039","87.41","87.41","87.41"
"10170.503844","87.41","87.41","87.41"
"10200.504549","87.41","87.41","87.41"
"10230.505307","87.41","87.41","87.41"
"10260.506008","87.41","87.41","87.41"
"10290.506843","87.41","87.41","87.41"
"10320.507498","87.41","87.41","87.41"
"10350.508402","87.41","87.41","87.41"
"10380.509248","87.41","87.41","87.41"
"10410.510047","87.41","87.41","87.41"
"10440.510779","87.41","87.41","87.41"
"10470.511326","87.41","87.41","87.41"
"10500.512018","87.41","87.41","87.41"
"10530.512438","87.41","87.41","87.41"
"10560.512971","87.41","87.41","87.41"
"10590.513772","87.41","87.41","87.41"
"10620.514574","87.41","87.41","87.41"
"10650.514987","87.41","87.41","87.41"
"10680.515396","87.41","87.41","87.41"
"10710.515921","87.41","87.41","87.41"
"10740.516748","87.41","87.41","87.41"
"10770.51722","87.41","87.41","87.41"
"10800.517937","87.41","87.41","87.41"
"10830.51865","87.41","87.41","87.41"
"10860.51956","87.41","87.41","87.41"
"10890.520196","87.41","87.41","87.41"
"10920.520839","87.41","87.41","87.41"
"10950.521293","87.41","87.41","87.41"
"10980.521748","87.41","87.41","87.41"
"11010.522217","87.41","87.41","87.41"
"11040.52273","87.41","87.41","87.41"
"11070.523339","87.41","87.41","87.41"
"11100.523912","87.41","87.41","87.41"
"11130.524662","87.41","87.41","87.41"
"11160.525404","87.41","87.41","87.41"
"11190.526222","87.41","87.41","87.41"
"11220.52718","87.41","87.41","87.41"
"11250.527872","87.41","87.41","87.41"
"11280.528777","87.41","87.41","87.41"
"11310.529709","87.41","87.41","87.41"
"11340.530527","87.41","87.41","87.41"
"11370.53145","87.41","87.41","87.41"
"11400.532265","87.41","87.41","87.41"
"11430.533094","87.41","87.41","87.41"
"11460.53388","87.41","87.41","87.41"
"11490.534947","87.41","87.41","87.41"
"11520.535698","87.41","87.41","87.41"
"11550.536227","87.41","87.41","87.41"
"11580.536903","87.41","87.41","87.41"
"11610.537618","87.41","87.41","87.41"
"11640.538243","87.41","87.41","87.41"
"11670.539227","87.41","87.41","87.41"
"11700.539903","87.41","87.41","87.41"
"11730.540578","87.41","87.41","87.41"
"11760.541352","87.41","87.41","87.41"
"11790.542127","87.41","87.41","87.41"
"11820.543017","87.41","87.41","87.41"
"11850.543914","87.41","87.41","87.41"
"11880.544783","87.41","87.41","87.41"
"11910.545523","87.41","87.41","87.41"
"11940.546294","87.41","87.41","87.41"
"11970.547007","87.41","87.41","87.41"
"12000.547728","87.41","87.41","87.41"
"12030.548968","87.41","87.41","87.41"
"12060.54967","87.41","87.41","87.41"
"12090.550387","87.41","87.41","87.41"
"12120.551278","87.41","87.41","87.41"
"12150.552105","87.41","87.41","87.41"
"12180.552798","87.41","87.41","87.41"
"12210.553399","87.41","87.41","87.41"
"12240.553891","87.41","87.41","87.41"
"12270.554612","87.41","87.41","87.41"
"12300.555191","87.41","87.41","87.41"
"12330.556016","87.41","87.41","87.41"
"12360.556452","87.41","87.41","87.41"
"12390.556908","87.41","87.41","87.41"
"12420.557409","87.41","87.41","87.41"
"12450.558028","87.41","87.41","87.41"
"12480.558656","87.41","87.41","87.41"
"12510.559413","87.41","87.41","87.41"
"12540.560126","87.41","87.41","87.41"
"12570.560953","87.41","87.41","87.41"
"12600.561453","87.41","87.41","87.41"
"12630.600504","87.41","87.41","87.41"
"12660.601188","87.41","87.41","87.41"
"12690.601903","87.41","87.41","87.41"
"12720.602662","87.41","87.41","87.41"
"12750.603312","87.41","87.41","87.41"
"12780.603889","87.41","87.41","87.41"
"12810.604752","87.41","87.41","87.41"
"12840.605496","87.41","87.41","87.41"
"12870.6063","87.41","87.41","87.41"
"12900.606998","87.41","87.41","87.41"
"12930.607645","87.41","87.41","87.41"
"12960.608267","87.41","87.41","87.41"
"12990.608943","87.41","87.41","87.41"
"13020.609754","87.41","87.41","87.41"
"13050.610485","87.41","87.41","87.41"
"13080.611228","87.41","87.41","87.41"
"13110.611763","87.41","87.41","87.41"
"13140.61253","87.41","87.41","87.41"
