"Relative Time (Process)","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MIN","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MAX"
"50761.628316","21111898112","21111898112","21111898112"
"50791.629089","21111898112","21111898112","21111898112"
"50821.629913","21111898112","21111898112","21111898112"
"50851.630673","21111898112","21111898112","21111898112"
"50881.63159","21111898112","21111898112","21111898112"
"50911.63238","21111898112","21111898112","21111898112"
"50941.633208","21111898112","21111898112","21111898112"
"50971.634053","21111898112","21111898112","21111898112"
"51001.634922","21111898112","21111898112","21111898112"
"51031.635532","21111898112","21111898112","21111898112"
"51061.636015","21111898112","21111898112","21111898112"
"51091.636552","21111898112","21111898112","21111898112"
"51121.637145","21111898112","21111898112","21111898112"
"51151.638009","21111898112","21111898112","21111898112"
"51181.638525","21111898112","21111898112","21111898112"
"51211.639136","21111898112","21111898112","21111898112"
"51241.639854","21111898112","21111898112","21111898112"
"51271.640535","21111898112","21111898112","21111898112"
"51301.641211","21111898112","21111898112","21111898112"
"51331.641762","21111898112","21111898112","21111898112"
"51361.642478","21111898112","21111898112","21111898112"
"51391.643112","21111898112","21111898112","21111898112"
"51421.643672","21111898112","21111898112","21111898112"
"51451.644493","21111898112","21111898112","21111898112"
"51481.645476","21111898112","21111898112","21111898112"
"51511.64619","21111898112","21111898112","21111898112"
"51541.647026","21111898112","21111898112","21111898112"
"51571.647939","21111898112","21111898112","21111898112"
"51601.648671","21111898112","21111898112","21111898112"
"51631.649388","21111898112","21111898112","21111898112"
"51661.650149","21111898112","21111898112","21111898112"
"51691.650964","21111898112","21111898112","21111898112"
"51721.651844","21111898112","21111898112","21111898112"
"51751.652851","21111898112","21111898112","21111898112"
"51781.653695","21111898112","21111898112","21111898112"
"51811.654617","21111898112","21111898112","21111898112"
"51841.656829","21111898112","21111898112","21111898112"
"51871.657882","21111898112","21111898112","21111898112"
"51901.658394","21111898112","21111898112","21111898112"
"51931.659275","21111898112","21111898112","21111898112"
"51961.660077","21111898112","21111898112","21111898112"
"51991.660829","21111898112","21111898112","21111898112"
"52021.661353","21111898112","21111898112","21111898112"
"52051.662039","21111898112","21111898112","21111898112"
"52081.662748","21111898112","21111898112","21111898112"
"52111.663493","21111898112","21111898112","21111898112"
"52141.664547","21111898112","21111898112","21111898112"
"52171.665392","21111898112","21111898112","21111898112"
"52201.666191","21111898112","21111898112","21111898112"
"52231.666885","21111898112","21111898112","21111898112"
"52261.667595","21111898112","21111898112","21111898112"
"52291.668305","21111898112","21111898112","21111898112"
"52321.669116","21111898112","21111898112","21111898112"
"52351.669825","21111898112","21111898112","21111898112"
"52381.670522","21111898112","21111898112","21111898112"
"52411.671211","21111898112","21111898112","21111898112"
"52441.672229","21111898112","21111898112","21111898112"
"52471.67289","21111898112","21111898112","21111898112"
"52501.673611","21111898112","21111898112","21111898112"
"52531.674378","21111898112","21111898112","21111898112"
"52561.674861","21111898112","21111898112","21111898112"
"52591.6755","21111898112","21111898112","21111898112"
"52621.676271","21111898112","21111898112","21111898112"
"52651.676939","21111898112","21111898112","21111898112"
"52681.677484","21111898112","21111898112","21111898112"
"52711.677982","21111898112","21111898112","21111898112"
"52741.678589","21111898112","21111898112","21111898112"
"52771.679496","21111898112","21111898112","21111898112"
"52801.680139","21111898112","21111898112","21111898112"
"52831.680935","21111898112","21111898112","21111898112"
"52861.681466","21111898112","21111898112","21111898112"
"52891.682085","21111898112","21111898112","21111898112"
"52921.682577","21111898112","21111898112","21111898112"
"52951.683176","21111898112","21111898112","21111898112"
"52981.684006","21111898112","21111898112","21111898112"
"53011.684727","21111898112","21111898112","21111898112"
"53041.685463","21111898112","21111898112","21111898112"
"53071.686305","21111898112","21111898112","21111898112"
"53101.687119","21111898112","21111898112","21111898112"
"53131.687848","21111898112","21111898112","21111898112"
"53161.68841","21111898112","21111898112","21111898112"
"53191.689106","21111898112","21111898112","21111898112"
"53221.690074","21111898112","21111898112","21111898112"
"53251.69103","21111898112","21111898112","21111898112"
"53281.691757","21111898112","21111898112","21111898112"
"53311.692328","21111898112","21111898112","21111898112"
"53341.69298","21111898112","21111898112","21111898112"
"53371.693542","21111898112","21111898112","21111898112"
"53401.694342","21111898112","21111898112","21111898112"
"53431.695043","21111898112","21111898112","21111898112"
"53461.69577","21111898112","21111898112","21111898112"
"53491.696649","21111898112","21111898112","21111898112"
"53521.697738","21111898112","21111898112","21111898112"
"53551.698578","21111898112","21111898112","21111898112"
"53581.699316","21111898112","21111898112","21111898112"
"53611.700334","21111898112","21111898112","21111898112"
"53641.700872","21111898112","21111898112","21111898112"
"53671.701582","21111898112","21111898112","21111898112"
"53701.702275","21111898112","21111898112","21111898112"
"53731.703021","21111898112","21111898112","21111898112"
"53761.703864","21111898112","21111898112","21111898112"
"53791.704535","21111898112","21111898112","21111898112"
"53821.7053","21111898112","21111898112","21111898112"
"53851.706117","21111898112","21111898112","21111898112"
"53881.706995","21111898112","21111898112","21111898112"
"53911.707647","21111898112","21111898112","21111898112"
"53941.708159","21111898112","21111898112","21111898112"
"53971.708836","21111898112","21111898112","21111898112"
"54001.709842","21111898112","21111898112","21111898112"
"54031.710606","21111898112","21111898112","21111898112"
"54061.711343","21111898112","21111898112","21111898112"
"54091.712141","21111898112","21111898112","21111898112"
"54121.712711","21111898112","21111898112","21111898112"
"54151.713196","21111898112","21111898112","21111898112"
"54181.713717","21111898112","21111898112","21111898112"
"54211.714366","21111898112","21111898112","21111898112"
"54241.714833","21111898112","21111898112","21111898112"
"54271.71536","21111898112","21111898112","21111898112"
"54301.715931","21111898112","21111898112","21111898112"
"54331.716625","21111898112","21111898112","21111898112"
"54361.717115","21111898112","21111898112","21111898112"
"54391.717607","21111898112","21111898112","21111898112"
"54421.718126","21111898112","21111898112","21111898112"
"54451.718793","21111898112","21111898112","21111898112"
"54481.719329","21111898112","21111898112","21111898112"
"54511.719843","21111898112","21111898112","21111898112"
"54541.720317","21111898112","21111898112","21111898112"
"54601.721219","21111898112","21111898112","21111898112"
"54631.7217","21111898112","21111898112","21111898112"
"54661.722176","21111898112","21111898112","21111898112"
"54691.722686","21111898112","21111898112","21111898112"
"54721.723299","21111898112","21111898112","21111898112"
"54751.724096","21111898112","21111898112","21111898112"
"54781.724854","21111898112","21111898112","21111898112"
"54811.725867","21111898112","21111898112","21111898112"
"54841.726611","21111898112","21111898112","21111898112"
"54871.727436","21111898112","21111898112","21111898112"
"54901.728212","21111898112","21111898112","21111898112"
"54931.72905","21111898112","21111898112","21111898112"
"54961.729952","21111898112","21111898112","21111898112"
"54991.730915","21111898112","21111898112","21111898112"
"55021.731639","21111898112","21111898112","21111898112"
"55051.73244","21111898112","21111898112","21111898112"
"55081.733436","21111898112","21111898112","21111898112"
"55111.734289","21111898112","21111898112","21111898112"
"55141.7351","21111898112","21111898112","21111898112"
"55171.735778","21111898112","21111898112","21111898112"
"55201.7367","21111898112","21111898112","21111898112"
"55231.737444","21111898112","21111898112","21111898112"
"55261.738335","21111898112","21111898112","21111898112"
"55291.73921","21111898112","21111898112","21111898112"
"55321.739931","21111898112","21111898112","21111898112"
"55351.740858","21111898112","21111898112","21111898112"
"55381.741834","21111898112","21111898112","21111898112"
"55411.742695","21111898112","21111898112","21111898112"
"55441.74339","21111898112","21111898112","21111898112"
"55471.744054","21111898112","21111898112","21111898112"
"55501.745219","21111898112","21111898112","21111898112"
"55531.746003","21111898112","21111898112","21111898112"
"55561.746475","21111898112","21111898112","21111898112"
"55591.747016","21111898112","21111898112","21111898112"
"55621.74781","21111898112","21111898112","21111898112"
"55651.748515","21111898112","21111898112","21111898112"
