"Step","experiment-balanced-data - epoch","experiment-balanced-data - epoch__MIN","experiment-balanced-data - epoch__MAX","experiment-human-data - epoch","experiment-human-data - epoch__MIN","experiment-human-data - epoch__MAX"
"3205","","","","1","1","1"
"3214","","","","1","1","1"
"3221","1","1","1","1","1","1"
"3233","1","1","1","","",""
"3246","1","1","1","","",""
"3249","","","","1","1","1"
"3250","1","1","1","","",""
"3255","1","1","1","","",""
"3259","","","","1","1","1"
"3280","","","","1","1","1"
"3304","1","1","1","","",""
"3320","","","","1","1","1"
"3336","","","","1","1","1"
"3343","1","1","1","","",""
"3382","1","1","1","1","1","1"
"3397","1","1","1","","",""
"3403","1","1","1","","",""
"3404","","","","1","1","1"
"3419","","","","1","1","1"
"3423","","","","1","1","1"
"3429","1","1","1","","",""
"3431","1","1","1","","",""
"3438","1","1","1","","",""
"3451","1","1","1","","",""
"3471","1","1","1","","",""
"3472","1","1","1","","",""
"3479","","","","1","1","1"
"3482","1","1","1","","",""
"3503","","","","1","1","1"
"3508","1","1","1","","",""
"3520","","","","1","1","1"
"3522","","","","1","1","1"
"3528","","","","1","1","1"
"3535","1","1","1","","",""
"3546","1","1","1","","",""
"3550","","","","1","1","1"
"3558","","","","1","1","1"
"3568","","","","1","1","1"
"3583","","","","1","1","1"
"3585","","","","1","1","1"
"3602","1","1","1","","",""
"3603","1","1","1","","",""
"3606","1","1","1","","",""
"3610","1","1","1","","",""
"3612","1","1","1","","",""
"3617","1","1","1","","",""
"3625","1","1","1","","",""
"3628","1","1","1","","",""
"3638","","","","1","1","1"
"3650","","","","1","1","1"
"3653","1","1","1","","",""
"3655","","","","1","1","1"
"3657","1","1","1","","",""
"3662","1","1","1","","",""
"3666","","","","1","1","1"
"3670","1","1","1","","",""
"3677","","","","1","1","1"
"3693","","","","1","1","1"
"3696","1","1","1","","",""
"3706","","","","1","1","1"
"3720","","","","1","1","1"
"3724","1","1","1","","",""
"3731","1","1","1","","",""
"3763","1","1","1","","",""
"3770","","","","1","1","1"
"3772","","","","1","1","1"
"3773","1","1","1","","",""
"3776","1","1","1","","",""
"3781","","","","1","1","1"
"3785","","","","1","1","1"
"3788","1","1","1","","",""
"3793","1","1","1","","",""
"3803","1","1","1","","",""
"3819","","","","1","1","1"
"3829","","","","1","1","1"
"3842","","","","1","1","1"
"3857","","","","1","1","1"
"3872","1","1","1","","",""
"3875","","","","1","1","1"
"3883","","","","1","1","1"
"3893","1","1","1","","",""
"3900","1","1","1","","",""
"3920","","","","1","1","1"
"3924","1","1","1","","",""
"3927","","","","1","1","1"
"3944","","","","1","1","1"
"3961","1","1","1","","",""
"3967","1","1","1","","",""
"3970","1","1","1","","",""
"4001","","","","1","1","1"
"4003","1","1","1","1","1","1"
"4007","","","","1","1","1"
"4022","","","","1","1","1"
"4023","","","","1","1","1"
"4025","1","1","1","","",""
"4029","1","1","1","","",""
"4031","","","","1","1","1"
"4033","1","1","1","","",""
"4050","","","","1","1","1"
"4065","1","1","1","","",""
"4072","1","1","1","","",""
"4075","","","","1","1","1"
"4076","1","1","1","","",""
"4084","1","1","1","","",""
"4091","1","1","1","","",""
"4093","1","1","1","","",""
"4098","1","1","1","","",""
"4105","1","1","1","1","1","1"
"4119","","","","1","1","1"
"4121","1","1","1","","",""
"4132","1","1","1","","",""
"4137","1","1","1","","",""
"4138","","","","1","1","1"
"4140","1","1","1","","",""
"4142","1","1","1","","",""
"4143","","","","1","1","1"
"4144","","","","1","1","1"
"4146","","","","1","1","1"
"4151","1","1","1","","",""
"4161","","","","1","1","1"
"4171","","","","1","1","1"
"4172","","","","1","1","1"
"4179","1","1","1","","",""
"4193","1","1","1","","",""
"4205","","","","1","1","1"
"4209","1","1","1","","",""
"4264","1","1","1","","",""
"4285","1","1","1","","",""
"4286","1","1","1","","",""
"4293","","","","1","1","1"
"4300","1","1","1","","",""
"4301","","","","1","1","1"
"4319","1","1","1","","",""
"4326","1","1","1","","",""
"4339","1","1","1","","",""
"4351","","","","1","1","1"
"4359","1","1","1","","",""
"4363","","","","1","1","1"
"4381","","","","1","1","1"
"4397","1","1","1","","",""
"4398","","","","1","1","1"
"4411","1","1","1","","",""
"4414","","","","1","1","1"
"4421","","","","1","1","1"
"4425","","","","1","1","1"
"4427","1","1","1","","",""
"4450","","","","1","1","1"
"4453","1","1","1","","",""
"4455","1","1","1","","",""
"4460","1","1","1","","",""
"4462","1","1","1","","",""
"4467","1","1","1","","",""
"4471","1","1","1","","",""
"4473","","","","1","1","1"
"4483","","","","1","1","1"
"4485","1","1","1","","",""
"4494","1","1","1","","",""
"4507","1","1","1","","",""
"4510","1","1","1","","",""
"4531","1","1","1","","",""
"4533","1","1","1","","",""
"4534","","","","1","1","1"
"4539","1","1","1","","",""
"4556","1","1","1","","",""
"4560","","","","1","1","1"
"4562","","","","1","1","1"
"4568","","","","1","1","1"
"4573","1","1","1","1","1","1"
"4581","1","1","1","","",""
"4592","","","","1","1","1"
"4597","1","1","1","","",""
"4607","1","1","1","","",""
"4613","","","","1","1","1"
"4614","","","","1","1","1"
"4627","1","1","1","","",""
"4628","1","1","1","","",""
"4636","1","1","1","","",""
"4638","","","","1","1","1"
"4650","","","","1","1","1"
"4653","","","","1","1","1"
"4676","1","1","1","","",""
"4678","1","1","1","","",""
"4683","","","","1","1","1"
"4689","","","","1","1","1"
"4696","1","1","1","","",""
"4705","1","1","1","","",""
"4706","1","1","1","","",""
"4718","1","1","1","","",""
"4720","","","","1","1","1"
"4730","","","","1","1","1"
"4744","","","","1","1","1"
"4753","1","1","1","","",""
"4760","","","","1","1","1"
"4769","","","","1","1","1"
"4777","1","1","1","","",""
"4790","1","1","1","","",""
"4798","1","1","1","","",""
"4802","","","","1","1","1"
"4803","","","","1","1","1"
"4823","","","","1","1","1"
"4825","1","1","1","","",""
